Uno Stato può essere classificato come federale quando|esistono due o più livelli di governo che concorrono nell’esercizio dei poteri sovrani|esiste una Costituzione che garantisce le competenze spettanti a ciascun livello di governo, assicura le risorse necessarie per il relativo esercizio e gli strumenti per la relativa giustiziabilità|le entità costitutive partecipano necessariamente al procedimento di revisione costituzionale ed esiste una seconda Camera rappresentativa delle entità costitutive, nella quale le stesse abbiano tendenzialmente pari rappresentanza|tutte le precedenti affermazioni sono corrette|4|8
Gli Statuti delle Regioni ad autonomia speciale sono adottati con|legge costituzionale|legge regionale statutaria|legge statale ordinaria|nessuna delle precedenti affermazioni è corretta|1|8
Gli Statuti delle Regioni ordinarie sono adottati con|legge costituzionale|legge regionale rinforzata|legge regionale ordinaria|nessuna delle precedenti affermazioni è corretta|2|8
Il vigente art. 123 Cost, riserva allo Statuto regionale|la determinazione della forma di governo|la determinazione dei princìpi fondamentali di organizzazione e funzionamento della Regione|la disciplina della pubblicazione delle leggi e dei regolamenti regionali|tutte le precedenti affermazioni sono corrette|4|8
Il vigente art. 123 Costt. Riserva allo Statuto regionale la disciplina|del diritto di iniziativa legislativa|del referendum su leggi e provvedimenti amministrativi della Regione|del Consiglio delle autonomie locali|tutte le precedenti affermazioni sono corrette|4|8|Secondo la Costituzione, spetta in ogni caso al Consiglio regionale|di eleggere il Presidente della Regione|di nominare e revocare i membri della Giunta|di sfiduciare il Presidente della Regione|tutte le precedenti affermazioni sono corrette|3|8
Il Consiglio regionale|è presieduto dal Presidente della Regione|può sfiduciare il Presidente della Giunta|elegge nel suo seno il Presidente della Giunta|tutte le precedenti affermazioni sono corrette|2|8
Il Consiglio regionale secondo l’art. 121 Cost.|approva i regolamenti, quando previsto dallo Statuto regionale|approva lo Statuto della Regione|avanza proposte di legge alle Camere|tutte le precedenti affermazioni sono corrette|4|8
Il Consiglio regionale, secondo l’art.121 Cost.|esercita la potestà regolamentare attribuita alla Regione|esercita la potestà legislativa attribuita alla Regione|elegge il Presidente della Giunta regionale|tutte le precedenti affermazioni sono corrette|2|8
Nella forma di governo regionale “standard” prevista dalla Costituzione, il Consiglio|accorda e revoca la fiducia alla Giunta|nomina il Presidente della Regione e gli assessori|nomina solo il presidente della Regione|nessuna delle precedenti affermazioni è corretta|4|8
Il Presidente della Giunta regionale, ex art.121 Cost.|rappresenta la Regione|emana i regolamenti regionali|dirige la politica della Giunta e ne è responsabile|tutte le precedenti affermazioni sono corrette|4|8
Salvo che lo Statuto disponga diversamente, il Presidente della Giunta è eletto|a suffragio universale e diretto|dal Consiglio regionale|dalla Giunta regionale|nessuna delle precedenti affermazioni è corretta|1|8
Il Presidente della Regione, nella forma di governo regionale prevista dalla Costituzione come modello c.d. standard|nomina e revoca gli assessori|può essere sfiduciato dal Consiglio regionale|è eletto a suffragio universale e diretto|tutte le precedenti affermazioni sono corrette|4|8
Il sistema di elezione dei Consigli regionali delle Regioni a Statuto ordinario è disciplinato|con legge regionale, nel rispetto dei princìpi fondamentali stabiliti con legge dello Stato|con legge statale, nel rispetto dei princìpi stabiliti con legge della Regione|degli Statuti regionali|nessuna delle precedenti affermazioni è corretta|1|8
I casi di ineleggibilità e incompatibilità del Presidente e degli altri componenti della Giunta regionale nonché dei consiglieri regionali rientrano nella potestà legislativa|esclusiva statale|concorrente tra Stato e regioni|residuale regionale|nessuna delle precedenti affermazioni è corretta|2|8
La Corte costituzionale giudica|sulla legittimità costituzionale delle leggi e degli atti aventi forza di legge dello Stato e delle Regioni|sui conflitti di attribuzione e sui giudizi di accusa nei confronti del Presidente della Repubblica|sull’ammissibilità del referendum abrogativo|tutte le precedenti affermazioni sono corrette|4|9
Nel giudizio sui conflitti di attribuzione, la Corte costituzionale|verifica che la legge impugnata sia conforme alla Costituzione|decide a quale potere o a quale ente spetti l’attribuzione contestata|giudica se la richiesta di referendum abrogativo siano ammissibili ai sensi dell’art. 75 comma 2 Cost.|tutte le precedenti affermazioni sono corrette|2|9
La Corte costituzionale giudica sui conflitti di attribuzione|tra i poteri dello Stato|tra Stato e Regioni (e Province autonome)|tra Regioni fra loro (e Province autonome)|tutte le precedenti affermazioni sono corrette|4|9
I giudici della Corte costituzionale sono scelti fra|i magistrati anche a riposo delle giurisdizioni superiori (ordinaria ed amministrative)|i professori ordinari di università in materie giuridiche|gli avvocati dopo venti anni di esercizio|tutte le precedenti affermazioni sono corrette|4|9
I giudici di nomina parlamentare sono eletti dal Parlamento in seduta comune|a scrutinio segreto|con la maggioranza dei due terzi dei componenti l’assemblea nei primi tre scrutini|con la maggioranza dei tre quinti dei componenti l’assemblea dopo il terzo scrutinio|tutte le precedenti affermazioni sono corrette|4|9
Al fine di garantire l’indipendenza dei membri della Corte costituzionale, la Costituzione stabilisce|una durata dell’incarico di nove anni|il divieto di rielezione|l’elezione nel suo seno del Presidente|tutte le precedenti affermazioni sono corrette|4|9
Il Presidente della Corte Costituzionale|dura in carica tre anni|è rieleggibile|è eletto dalla stessa Corte costituzionale|tutte le precedenti affermazioni sono corrette|4|9
A garanzia dell’indipendenza dei giudici costituzionali, è posta la prerogativa|dell’inamovibilità|dell’immunità|dell’insindacabilità|tutte le precedenti affermazioni sono corrette|4|9
La Corte costituzionale gode di|autonomia finanziaria|autonomia amministrativa|autonomia regolamentare|tutte le precedenti affermazioni sono corrette|4|9
La verifica dei titoli di ammissione dei membri della Corte costituzionale spetta|alla stessa Corte costituzionale|alla Corte di cassazione|al Presidente della Repubblica|nessuna delle precedenti affermazioni è corretta|1|9
Il sistema italiano di giustizia costituzionale prevede che i giudizi sulle leggi siano instaurabili|sia in via incidentale, sia in via principale|solo in via incidentale|sia in via incidentale, sia in via principale, limitando però, in quest’ultimo caso, l’accesso allo Stato e alle Regioni|nessuna delle precedenti affermazioni è corretta|3|9
La questione di costituzionalità in via incidentale, per giungere al giudice costituzionale deve|sorgere nel corso di un giudizio|essere rilevante|essere non manifestamente infondata|tutte le precedenti affermazioni sono corrette|4|9
La norma parametro è|una norma la cui violazione si traduce in una indiretta violazione della Costituzione|una norma di legge rispetto alla quale si prospetta il dubbio di conformità alla Costituzione|una norma della Costituzione che si assume violata|nessuna delle precedenti affermazioni è corretta|3|9
Ai sensi dell’art.134 Cost. possono costituire oggetto di una questione di costituzionalità|le leggi statali|i regolamenti regionali|i regolamenti governativi|tutte le precedenti affermazioni sono corrette|1|9
Le decisioni della Corte costituzionale possono essere di|inammissibilità|accoglimento|rigetto|tutte le precedenti affermazioni sono corrette|4|9
Le decisioni di inammissibilità hanno efficacia|inter partes|erga omnes e retroattiva|erga omnes ma irretroattiva|nessuna delle precedenti affermazioni è corretta|1|9
Le decisioni di rigetto hanno efficacia|inter partes|erga omnes e retroattiva|erga omnes ma irretroattiva|nessuna delle precedenti affermazioni è corretta|1|9
Le sentenze di accoglimento hanno efficacia|inter partes|erga omnes e retroattiva|erga omnes ma irretroattiva|nessuna delle precedenti affermazioni è corretta|2|9
L’efficacia retroattiva delle sentenze di incostituzionalità incontra un limite|nei cosiddetti “rapporti esauriti”|in tutti i rapporti sorti prima della proposizione della questione di legittimità costituzionale|nelle sentenze penali di condanna pronunciate sulla base della norma successivamente dichiarata incostituzionale|tutte le precedenti affermazioni sono corrette|1|9
Le sentenze interpretative di rigetto della Corte costituzionale interpretano in modo diverso rispetto al giudice a quo|la Costituzione|la norma oggetto del giudizio|la norma interposta|tutte le precedenti affermazioni sono corrette|2|9
Le sentenze additive della Corte costituzionale hanno efficacia|retroattiva ed inter partes|retroattiva ed erga omnes|irretroattiva ed erga omnes|nessuna delle precedenti affermazioni è corretta|2|9
Secondo la dottrina prevalente e la giurisprudenza della Corte costituzionale, le sentenze manipolative|sono elaborate “a rime obbligate”|creano nuove norme|incidono sulla discrezionalità politica riservata al legislatore|tutte le precedenti affermazioni sono corrette|1|9
Il principio di eguaglianza formale comporta che|siano trattate in modo eguale situazioni eguali e in modo diverso situazioni diverse|siano trattate in modo eguale indistintamente tutte le situazioni|siano rimossi gli ostacoli di ordine economico e sociale che impediscono il pieno sviluppo della persona umana|nessuna delle precedenti affermazioni è corretta|1|10
Il principio d’eguaglianza sostanziale|consiste nell’eguaglianza davanti alla legge|impone la rimozione degli ostacoli che limitano l’effettiva eguaglianza dei cittadini|vieta in modo assoluto distinzioni di sesso|tutte le precedenti affermazioni sono corrette|2|10
La Costituzione per domicilio intende|qualsiasi luogo separato dall’ambiente esterno di cui la persona possa disporre a titolo privato|la sede principale dei propri affari|il luogo in cui la persona stabilisce la propria dimora abituale|tutte le precedenti affermazioni sono corrette|1|10
La Costituzione per domicilio intende|l’abitazione|la camera d’albergo|il bagagliaio di un’automobile|tutte le precedenti affermazioni sono corrette|4|10
La libertà di corrispondenza può essere limitata|solo per atto motivato dell’autorità giudiziaria|in casi eccezionali di necessità e urgenza, anche dall’autorità di pubblica sicurezza|anche dagli addetti al servizio postale, ma solo per reprimere la violazione del buon costume|tutte le precedenti affermazioni sono corrette|1|10
La libertà di circolazione|può essere limitata per motivi politici|è garantita attraverso la riserva di giurisdizione|può essere limitata solo con legge e in via generale soltanto per motivi di sanità e sicurezza|nessuna delle precedenti affermazioni è corretta|1|10
Libertà di religione significa libertà di|credere in Dio|non credere in nessun Dio|credere diversamente|tutte le precedenti affermazioni sono corrette|4|10|La libertà di manifestazione del pensiero incontra un limite espresso nell’art.21 Cost.|nell’ordine pubblico|nel buon costume|nella contrarietà all’utilità sociale|tutte le precedenti affermazioni sono corrette|2|10
La stampa può essere sottoposta a sequestro|solo per atto motivato dell’autorità giudiziaria|in casi di assoluta urgenza, se stampa periodica, anche da ufficiali di polizia giudiziaria|nei soli casi di delitti previsti dalla legge sulla stampa o di violazione delle norme che la legge stessa prescrive per l’indicazione dei responsabili|tutte le precedenti affermazioni sono corrette|4|10
La stampa può essere soggetta a|autorizzazione|censura|sequestro|tutte le precedenti affermazioni sono correte|3|10
Tutti hanno diritto di riunirsi|in modo pacifico e senz’armi|previa autorizzazione, per le riunioni in luogo pubblico|per fini che non sono vietati ai singoli della legge penale|tutte le precedenti affermazioni sono corrette|1|10
Per il legittimo svolgimento di una riunione in luogo pubblico è necessaria la previa autorizzazione rilasciata|dall’autorità di pubblica sicurezza|dall’autorità giudiziaria|dal Sindaco|nessuna delle precedenti affermazioni è corretta|4|10
Per potersi legittimamente riunire è necessario dare preavviso all’autorità di pubblica sicurezza quando la riunione si svolge|in luogo pubblico|in luogo aperto al pubblico|in luogo privato|nessuna delle precedenti affermazioni è corretta|1|10
Secondo la Costituzione, sono vietate|le associazioni che perseguono fini vietati ai singoli dalla legge penale|le associazioni segrete|le associazioni che perseguono, anche indirettamente, scopi politici mediante organizzazioni di carattere militare|tutte le precedenti affermazioni sono corrette|4|10
La proprietà privata può essere limitata|solo dalla legge|allo scopo di assicurarne la funzione sociale|allo scopo di renderla accessibile a tutti|tutte le precedenti affermazioni sono corrette|4|10
